venue_name,event_type,expected_attendance,temperature,humidity,rainfall,transport_delay_score,road_congestion_score,crowd_density_score,hospital_distance_km,police_station_distance_km,accessibility_score,social_media_risk_score,final_crisis_risk_score,risk_level,recommended_action
RNA Showgrounds,Paralympic Event,81533,26.6,67.83,29.99,95,92,93,7.4,6.91,69,20,105.34,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Paralympic Event,77307,31.4,60.76,23.21,52,86,51,4.54,8.6,48,53,92.8,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Opening Ceremony,79795,18.5,59.7,7.12,14,11,96,11.71,9.19,47,71,83.12,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,34963,25.6,79.08,11.76,10,42,94,11.71,2.75,68,84,97.75,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Closing Ceremony,33054,36.55,55.12,9.54,63,53,71,11.74,2.73,50,87,116.09,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Cycling,28666,23.88,37.28,19.11,16,5,18,3.29,3.31,77,36,45.33,Low,Continue normal monitoring.
Brisbane Convention Centre,Basketball,49757,23.55,50.49,28.9,51,57,31,8.37,3.8,99,82,77.29,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,30954,20.85,52.22,25.49,41,81,47,12.6,9.39,47,87,92.2,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Athletics,53003,21.97,44.07,7.2,55,75,30,2.68,9.7,64,33,65.29,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Athletics,60805,19.2,84.76,19.43,9,82,66,4.77,1.59,66,79,78.76,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Paralympic Event,66899,35.3,48.72,21.51,86,94,49,13.49,9.14,62,47,114.3,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Closing Ceremony,31177,21.69,53.82,12.9,48,85,84,11.16,5.55,77,14,88.59,High,"Deploy additional transport, security, and medical support."
The Gabba,Athletics,24309,29.92,58.86,4.93,4,69,46,0.72,6.02,60,91,76.11,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,50927,31.14,84.41,11.99,88,51,71,12.48,8.11,44,52,115.15,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Cycling,25922,37.61,46.81,2.02,1,64,59,9.45,8.7,83,75,93.83,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Athletics,15956,29.36,51.3,28.15,53,91,93,4.27,9.71,60,55,99.08,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Athletics,44454,19.06,73.06,13.74,39,100,0,4.17,5.99,93,41,59.74,Medium,Increase monitoring and prepare support teams.
Victoria Park,Paralympic Event,79960,19.53,84.27,23.82,61,46,16,5.26,2.49,56,37,67.02,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Closing Ceremony,71125,36.26,66.11,5.48,71,60,14,12.44,4.15,88,30,94.49,High,"Deploy additional transport, security, and medical support."
Victoria Park,Closing Ceremony,14275,20.37,86.36,20.52,88,33,25,14.09,3.46,45,69,93.18,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Closing Ceremony,34425,37.42,65.92,21.44,12,6,43,2.19,6.32,82,34,69.03,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Swimming,23323,29.01,57.18,25.01,23,60,16,13.54,9.64,74,31,78.55,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Cycling,66381,31.52,71.2,2.1,67,39,58,0.92,9.12,43,44,85.93,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,10313,29.14,47.73,15.07,42,30,72,5.04,8.45,46,56,84.39,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Swimming,24229,33.05,64.22,20.32,92,38,59,6.94,8.99,62,68,102.55,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Tennis,6657,22.74,40.92,23.04,5,31,17,4.12,5.7,48,100,59.71,Medium,Increase monitoring and prepare support teams.
The Gabba,Basketball,73207,35.69,65.77,24.85,42,16,95,14.5,4.25,80,82,113.29,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Closing Ceremony,54877,34.41,59.23,3.97,21,10,76,14.86,0.74,99,75,98.52,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Tennis,67993,20.41,86.62,5.44,82,46,68,4.95,5.69,69,24,81.91,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,36980,29.31,59.32,23.92,57,93,40,1.26,2.02,87,97,87.16,High,"Deploy additional transport, security, and medical support."
The Gabba,Swimming,43346,18.47,80.92,29.24,80,63,63,4.53,0.84,57,53,84.55,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Swimming,29816,18.19,82.19,21.93,15,5,56,11.92,3.41,87,41,67.24,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Basketball,47316,29.32,35.34,1.86,26,26,78,4.44,9.09,86,45,73.89,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Closing Ceremony,23443,26.21,43.98,6.65,80,35,84,1.77,1.35,75,27,79.5,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Cycling,20972,19.67,46.61,22.57,51,36,28,5.35,4.25,85,51,60.37,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Cycling,26097,22.17,51.3,27.32,28,19,24,4.39,3.93,61,95,63.48,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Athletics,44876,34.55,67.17,10.13,33,12,42,9.8,2.97,61,51,86.69,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Paralympic Event,71467,20.44,41.11,19.44,78,56,19,10.26,8.33,57,4,69.73,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Paralympic Event,28165,28.7,39.51,1.05,43,33,76,14.89,1.98,46,67,100.7,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Athletics,82986,29.56,82.64,8.68,52,31,65,6.8,4.74,41,59,94.12,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Opening Ceremony,43751,35.01,46.08,28.03,87,0,10,8.56,7.91,65,49,82.51,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Paralympic Event,16984,35.8,89.56,8.82,91,52,70,4.17,8.72,83,18,100.55,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Swimming,46777,31.48,81.58,9.73,26,53,65,11.6,0.55,93,29,91.86,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Tennis,67559,22.53,73.08,7.0,76,41,46,1.37,1.74,61,56,75.2,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,64754,20.27,89.83,5.5,88,65,11,5.31,4.92,48,9,72.41,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Opening Ceremony,74345,34.84,61.55,23.32,50,35,23,7.64,6.52,96,77,85.45,High,"Deploy additional transport, security, and medical support."
The Gabba,Cycling,46486,35.81,66.73,16.92,23,20,9,8.43,8.48,63,13,71.13,Medium,Increase monitoring and prepare support teams.
The Gabba,Closing Ceremony,15553,26.13,42.88,21.44,35,21,77,11.88,9.95,95,88,88.71,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Opening Ceremony,32564,31.59,87.03,8.87,95,15,58,13.9,3.6,90,77,110.11,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Paralympic Event,83533,31.69,84.65,25.12,60,70,45,2.45,1.4,80,53,88.1,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Basketball,38377,24.37,84.18,19.35,77,78,42,0.5,7.27,56,91,88.27,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,74590,34.31,84.19,24.71,4,72,28,1.73,5.71,61,65,78.65,High,"Deploy additional transport, security, and medical support."
Victoria Park,Cycling,20960,25.8,61.4,4.14,95,74,38,14.82,4.72,68,53,103.15,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Closing Ceremony,55733,27.28,52.6,14.29,0,80,65,10.25,6.98,68,50,84.95,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Swimming,52291,20.57,66.82,20.8,19,72,38,13.16,5.25,77,90,84.35,High,"Deploy additional transport, security, and medical support."
Victoria Park,Swimming,57664,23.69,59.37,18.51,85,42,82,3.78,5.73,65,25,84.05,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Swimming,61396,28.83,39.73,1.71,38,50,11,7.38,1.13,50,25,68.23,Medium,Increase monitoring and prepare support teams.
The Gabba,Swimming,65197,28.46,49.95,11.98,41,91,64,14.67,5.68,91,46,99.3,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Paralympic Event,25746,36.15,89.81,21.01,11,42,50,13.71,0.7,63,79,103.97,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Cycling,79328,34.66,51.67,29.0,3,74,95,11.47,4.81,50,91,110.65,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Opening Ceremony,32052,20.41,67.15,29.08,25,24,53,7.27,1.23,53,77,73.57,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Tennis,25827,37.95,59.85,10.64,92,44,78,7.06,9.87,77,46,108.81,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Closing Ceremony,69757,30.96,38.38,24.41,6,21,80,14.34,1.94,49,56,92.27,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Closing Ceremony,50436,20.22,82.75,8.92,52,59,33,1.05,6.39,93,89,69.8,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Opening Ceremony,15310,29.9,82.96,17.31,23,82,35,8.33,1.25,66,31,84.52,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Opening Ceremony,53785,21.44,83.33,16.75,58,30,3,9.41,5.47,85,89,74.04,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Paralympic Event,41483,22.02,52.33,23.74,11,93,35,11.86,3.13,46,0,72.36,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Athletics,80609,37.42,44.74,21.66,71,23,85,7.31,4.52,76,29,98.23,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Athletics,72616,20.98,78.23,18.54,38,8,20,0.69,2.65,82,61,52.7,Low,Continue normal monitoring.
Victoria Park,Paralympic Event,27195,18.48,41.41,3.81,6,42,81,6.06,2.56,72,58,66.73,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Athletics,75211,21.99,49.55,15.11,87,21,65,12.48,6.5,64,56,91.34,High,"Deploy additional transport, security, and medical support."
Victoria Park,Paralympic Event,33557,21.29,57.83,0.43,48,8,57,3.18,1.07,62,68,68.04,Medium,Increase monitoring and prepare support teams.
The Gabba,Cycling,82242,22.54,71.66,2.4,28,2,82,11.26,2.82,74,5,74.44,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Paralympic Event,41133,28.23,61.58,11.48,83,46,3,0.61,0.75,47,86,76.48,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,65610,35.56,65.68,28.79,70,14,70,1.14,2.26,63,100,96.53,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Opening Ceremony,40081,36.92,81.32,8.9,88,49,11,14.77,8.07,85,77,109.41,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Basketball,73472,19.18,72.99,21.86,24,17,61,6.04,5.77,57,58,68.62,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Paralympic Event,23610,24.62,77.13,12.41,95,83,91,5.36,2.18,73,66,105.95,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Closing Ceremony,84823,37.26,41.31,14.71,68,24,19,3.1,8.08,41,73,84.36,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Cycling,74806,36.45,39.0,8.42,54,74,18,14.89,2.79,85,13,91.78,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Cycling,80179,27.8,69.69,22.19,85,22,55,12.09,3.67,94,91,100.25,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Basketball,7962,28.44,38.74,5.44,36,25,98,2.53,4.45,55,37,79.23,High,"Deploy additional transport, security, and medical support."
Victoria Park,Tennis,46979,37.93,42.44,20.26,59,44,45,0.66,7.44,61,84,89.02,High,"Deploy additional transport, security, and medical support."
The Gabba,Closing Ceremony,33756,37.83,46.46,10.66,63,86,42,10.66,6.1,52,17,101.7,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Paralympic Event,26398,24.3,47.35,2.07,46,39,50,5.65,7.91,59,90,79.89,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,34320,32.89,57.68,5.87,39,44,76,6.89,3.51,93,91,96.2,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Basketball,28464,21.66,52.55,12.47,74,37,5,0.85,6.06,79,2,49.15,Low,Continue normal monitoring.
Queensland Tennis Centre,Cycling,6378,19.22,36.7,21.43,87,34,61,9.81,3.12,88,97,86.78,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Closing Ceremony,70756,34.2,58.63,22.5,72,0,41,3.12,3.05,83,54,78.96,High,"Deploy additional transport, security, and medical support."
The Gabba,Athletics,45581,29.79,38.71,24.95,38,30,9,8.01,2.53,99,87,71.07,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Cycling,35024,30.1,56.31,25.9,8,25,3,4.36,3.66,96,51,55.26,Medium,Increase monitoring and prepare support teams.
Victoria Park,Paralympic Event,8332,29.29,71.47,20.37,12,3,41,11.17,2.48,80,7,68.77,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Closing Ceremony,50246,22.62,84.36,7.69,98,100,41,12.96,5.25,51,36,104.39,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Basketball,66431,18.81,63.17,20.41,59,22,39,12.15,1.3,68,77,79.87,High,"Deploy additional transport, security, and medical support."
The Gabba,Swimming,22118,31.83,88.11,11.81,80,1,24,11.07,5.96,81,69,92.42,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Athletics,49130,26.55,70.49,22.36,82,85,58,0.6,5.47,55,87,94.53,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Basketball,65430,33.03,84.33,25.38,48,82,99,5.96,3.72,64,15,103.73,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Tennis,25711,34.25,39.53,18.0,82,41,16,4.89,8.66,66,9,75.66,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,66957,31.81,86.98,20.48,24,54,80,10.21,2.7,90,97,104.98,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Swimming,18386,35.23,42.55,28.57,20,53,55,3.92,9.46,90,19,74.09,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Closing Ceremony,57949,35.17,42.24,21.15,62,71,55,9.88,6.44,42,6,96.86,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Opening Ceremony,55906,22.35,39.85,5.84,74,41,32,3.24,7.34,80,58,67.31,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Opening Ceremony,16695,34.57,80.63,21.28,61,98,13,10.23,7.12,70,94,106.17,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Basketball,52766,30.24,51.85,9.78,78,69,26,10.35,6.5,47,78,99.04,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Tennis,52662,35.27,42.28,29.33,60,31,93,13.72,2.6,73,61,111.0,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Basketball,31957,24.88,63.63,13.22,92,30,63,7.86,1.81,47,90,98.64,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Athletics,18668,31.26,67.75,12.45,84,60,21,3.34,8.29,97,42,80.33,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Closing Ceremony,56702,33.04,63.21,9.63,5,80,88,6.81,9.25,55,50,96.34,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Cycling,84335,27.57,82.41,3.16,99,85,63,4.58,8.31,68,37,99.37,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Tennis,14824,32.48,86.08,12.92,87,3,3,4.01,1.19,98,31,71.35,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Basketball,15345,20.21,36.96,29.83,79,33,86,11.38,3.11,88,12,82.12,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Athletics,76792,26.88,72.16,15.27,78,17,22,10.24,0.8,73,57,83.34,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Swimming,76927,24.41,65.93,8.38,64,67,48,12.93,1.42,60,89,100.78,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Opening Ceremony,67894,26.07,47.91,24.57,19,87,26,0.51,3.42,88,23,57.24,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Paralympic Event,66382,21.74,65.56,8.74,98,61,29,6.86,9.79,68,40,81.41,High,"Deploy additional transport, security, and medical support."
The Gabba,Athletics,11080,37.07,38.31,8.93,16,37,13,10.27,8.52,95,21,71.29,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Closing Ceremony,39678,20.48,38.88,27.28,0,51,84,8.4,1.24,90,0,62.66,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Cycling,79219,26.8,61.56,6.37,91,64,99,14.05,9.14,96,58,114.12,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Paralympic Event,9011,30.12,62.7,26.35,67,77,77,6.96,6.13,41,9,97.44,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Cycling,81427,33.93,75.67,19.37,53,57,69,12.0,2.59,72,22,102.57,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Athletics,54178,25.05,37.37,5.37,63,90,56,10.74,5.29,97,96,96.58,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Paralympic Event,13997,25.63,77.64,10.28,78,66,86,9.68,4.78,80,22,99.22,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Swimming,61633,30.51,79.45,2.07,0,60,13,10.24,9.3,49,70,81.74,High,"Deploy additional transport, security, and medical support."
The Gabba,Athletics,60421,22.84,58.43,29.03,41,50,63,14.03,6.07,71,14,83.67,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,76376,21.86,60.92,14.18,35,70,12,5.47,7.0,61,62,67.28,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,77394,19.11,68.54,7.22,37,40,44,8.41,2.47,72,16,65.43,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Cycling,75456,18.12,61.61,3.7,8,67,80,2.12,5.92,69,39,64.77,Medium,Increase monitoring and prepare support teams.
The Gabba,Swimming,71900,28.93,83.65,16.62,16,17,41,2.91,9.21,57,16,64.33,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Tennis,37924,24.78,87.36,22.14,46,8,76,4.23,4.92,76,18,73.69,Medium,Increase monitoring and prepare support teams.
The Gabba,Basketball,18016,31.83,49.4,18.73,95,52,2,5.6,9.14,56,32,80.51,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Opening Ceremony,62986,26.67,81.67,10.9,51,99,6,5.42,5.67,63,60,81.63,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,14344,19.03,57.1,20.21,57,71,28,7.23,6.38,59,79,77.25,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Opening Ceremony,47317,28.91,46.22,8.76,25,44,83,3.63,9.69,100,25,73.17,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Athletics,54549,34.11,51.48,28.86,32,12,77,4.16,4.74,65,20,78.84,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Closing Ceremony,47919,18.79,88.75,7.27,22,80,47,8.48,1.95,98,45,73.68,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Paralympic Event,12489,35.11,58.01,9.28,43,5,76,13.51,1.63,51,51,102.0,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Tennis,75726,29.11,67.12,6.21,52,100,47,5.66,6.96,54,63,94.69,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Athletics,5534,33.78,41.55,4.22,69,16,25,1.1,3.56,50,37,71.42,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Athletics,24324,26.71,87.42,21.58,11,37,33,1.27,7.4,56,66,67.37,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Paralympic Event,5882,27.65,38.15,5.24,97,84,85,13.53,6.04,58,1,106.8,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Opening Ceremony,13521,29.83,45.56,20.0,62,56,11,7.6,5.52,50,52,80.38,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,34140,34.1,45.22,2.55,75,13,53,11.37,8.15,83,49,94.01,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Paralympic Event,16283,36.45,62.63,9.84,37,37,60,7.38,3.7,94,61,91.9,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,67514,32.81,61.68,2.56,71,20,69,9.41,2.75,63,32,95.69,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Athletics,29503,33.0,60.12,25.37,41,26,73,7.82,7.8,71,25,87.35,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Swimming,24222,18.73,37.9,25.02,92,30,63,8.44,9.47,41,17,77.92,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Opening Ceremony,56428,18.8,59.7,17.33,17,87,71,2.05,3.98,49,86,76.79,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Opening Ceremony,57409,29.29,63.41,8.54,88,67,41,9.65,4.83,58,57,99.78,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Swimming,73416,19.91,58.05,3.4,17,56,4,2.89,1.11,58,28,48.13,Low,Continue normal monitoring.
Brisbane Convention Centre,Athletics,73199,29.18,63.31,2.99,74,27,81,5.97,6.23,41,100,103.47,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Athletics,57311,24.92,36.94,22.39,72,31,14,13.26,6.66,49,51,80.63,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,10812,24.32,81.47,14.29,6,39,27,10.31,3.36,87,99,76.82,High,"Deploy additional transport, security, and medical support."
Victoria Park,Tennis,32200,22.18,73.27,28.33,22,92,84,7.29,1.91,66,39,86.99,High,"Deploy additional transport, security, and medical support."
Victoria Park,Paralympic Event,40450,22.07,77.3,12.77,79,30,52,5.11,0.58,65,100,87.54,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,60648,19.73,64.61,27.4,53,27,55,2.25,9.78,73,76,69.24,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Athletics,56567,34.26,40.46,12.86,52,32,70,10.66,7.77,90,73,97.82,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Opening Ceremony,23830,19.28,56.3,8.48,11,3,94,9.82,7.32,64,86,78.96,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,47292,21.61,87.12,6.56,97,77,3,7.59,1.77,89,78,84.89,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,77267,22.61,50.91,11.08,95,89,16,6.3,1.05,74,45,79.92,High,"Deploy additional transport, security, and medical support."
The Gabba,Tennis,45870,18.33,53.64,23.87,3,48,58,6.46,5.29,41,48,65.13,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Closing Ceremony,7429,18.77,55.25,29.37,50,42,97,12.92,4.94,65,79,96.09,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Paralympic Event,76116,35.29,60.13,14.25,29,35,66,10.61,1.29,96,48,92.43,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Paralympic Event,44619,35.55,46.22,24.79,52,83,78,12.43,3.46,60,78,116.29,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Athletics,31660,35.16,51.77,5.78,61,35,99,10.87,9.75,83,6,101.06,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Basketball,67580,24.65,86.7,10.29,9,95,41,5.27,1.0,97,9,68.44,Medium,Increase monitoring and prepare support teams.
The Gabba,Tennis,78690,37.67,37.76,2.9,91,77,84,11.61,1.25,56,68,123.63,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Opening Ceremony,57797,27.35,68.32,12.85,62,18,99,8.65,1.56,95,96,100.79,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Cycling,8626,28.71,61.23,11.68,5,56,0,11.89,5.13,67,79,76.02,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Tennis,79710,19.01,65.1,26.71,4,20,17,5.2,9.55,58,96,57.03,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Cycling,22794,34.41,56.57,13.43,24,54,83,5.09,1.33,60,55,93.31,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Closing Ceremony,27486,25.86,49.23,10.42,72,80,65,14.1,6.96,93,62,102.22,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Athletics,20123,33.76,36.32,16.02,61,99,18,11.13,9.96,92,70,95.5,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Paralympic Event,29099,19.94,38.06,3.88,29,75,67,9.25,2.66,90,23,71.76,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Cycling,64305,37.81,68.62,11.13,87,74,98,0.7,9.01,71,8,103.82,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Basketball,55071,24.72,63.26,23.9,75,19,64,3.22,7.63,49,46,79.83,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Swimming,67559,30.97,63.11,13.37,45,31,26,10.75,6.72,88,92,87.91,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,31183,29.66,74.49,11.16,17,37,58,6.22,8.74,85,71,81.7,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Swimming,40362,29.01,63.27,20.7,38,83,63,6.93,3.55,82,77,93.85,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Paralympic Event,32926,20.39,47.67,3.19,78,87,88,5.63,3.5,51,4,86.21,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Athletics,11523,37.5,57.61,13.34,93,16,67,6.37,0.53,90,33,96.9,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Athletics,57709,37.73,50.3,11.86,14,77,69,12.74,4.87,42,2,99.63,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Tennis,16826,19.45,45.95,10.43,6,12,65,2.32,3.25,56,51,55.01,Medium,Increase monitoring and prepare support teams.
Brisbane Entertainment Centre,Swimming,54476,32.45,35.41,15.27,20,23,3,13.14,4.47,43,100,82.86,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,46269,25.17,49.73,12.97,76,67,45,12.75,3.92,56,35,92.94,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Opening Ceremony,56024,32.03,35.54,12.28,51,91,42,13.06,4.72,82,54,97.61,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Swimming,34113,37.68,85.04,25.55,12,40,56,10.1,6.29,95,73,96.97,Critical,Activate emergency response plan and redirect crowd movement.
